Month/Year,Voice Lines,BTS,FB,Upgrades,Accessories ,APP
January 2024,25,12,1,33,47,1.424242424
February 2024,24,7,11,34,61,1.794117647
March 2024,20,21,3,32,72,2.25
April 2024,27,14,3,38,79,2.078947368
May 2024,30,13,8,35,71,2.028571429
June 2024,17,16,17,24,56,2.333333333
July 2024,30,14,1,33,71,2.151515152
August 2024,24,13,5,32,70,2.1875
September 2024,37,14,24,37,56,1.513513514
October 2024,20,18,4,34,101,2.970588235
November 2024,27,10,2,33,57,1.727272727
December 2024,47,27,11,44,66,1.5
January 2025,45,32,7,35,65,1.857142857
February 2025,19,25,9,31,43,1.387096774
March 2025,9,5,15,19,51,2.684210526
